CEMBARegion,mCCCFrac-mean,mCCCFrac-std,mCGFrac-mean,mCGFrac-std,mCHFrac-mean,mCHFrac-std,#Nucleus,Label,R,G,B
1A,0.004427428,0.00093346,0.7701102463465552,0.021825028254128506,0.021228722,0.005921976,17442,1,175,204,236
1B,0.006480051,0.000951246,0.7797787536443148,0.022796309836403274,0.025452004373177826,0.006311861,10872,2,196,156,148
1C,0.004915855,0.001073509,0.774967212,0.019370842968451794,0.018317536,0.007718736,12678,3,250,223,99
2A,0.005343422,0.000893145,0.7982393529178246,0.020970433,0.024516776,0.00547169,17795,4,242,206,128
2B,0.005926872,0.001008928,0.7752369815281276,0.025198080401921452,0.025413648,0.006449331,17460,5,142,227,244
2C,0.005654903,0.001077573,0.7751084476367006,0.024819843074554624,0.024435806,0.00661141,19053,6,57,157,229
2D,0.005097154,0.001041814,0.7849323009220452,0.022272269423423714,0.024043457669740136,0.007060156,14350,7,244,226,135
2E,0.005726188,0.001035321,0.8158793056085464,0.023132043638131462,0.023983426173216315,0.007652923,18426,8,255,127,14
3A,0.006418441,0.000924618,0.8031091705246913,0.021815361223268104,0.026752689043209862,0.005402268,14980,9,155,114,96
3B,0.005800373,0.000974268,0.8053837327188941,0.025141326,0.026638554671135305,0.006716002,18304,10,111,202,209
3C,0.007542162,0.001067976,0.7735440033712601,0.02376096,0.027382157606405378,0.006871221,15628,11,23,108,219
3D,0.005557493,0.001109616,0.7916903123662816,0.023919706451143847,0.025368383,0.006941395,22043,12,166,214,52
3E,0.005571723,0.00102878,0.7887871862509992,0.02401739,0.025085091926458816,0.006933102,16290,13,242,191,74
3F,0.005812899,0.001149469,0.7893183768115942,0.023775221436361682,0.023048347826086946,0.007760587,12560,14,221,210,244
4A,0.006233017,0.00090757,0.8193912157676349,0.024437342,0.02690932,0.006237744,13981,15,140,86,75
4B,0.006582829,0.001161332,0.7834240996030314,0.024379181870492553,0.026348603392277143,0.006678514,14026,16,47,83,142
4C,0.005493427,0.001173529,0.7720170127877237,0.024803492048226367,0.023190030690537072,0.006698629,18556,17,107,255,184
4D,0.006490538,0.001122611,0.7922738748495788,0.01829917,0.024020581628559953,0.006664212,13104,18,200,122,253
4E,0.005581358,0.000970694,0.7995893210586882,0.025600483,0.021151651323360172,0.007349421,11900,19,255,210,252
4F,0.005798319,0.001084223,0.7915700434954528,0.023281014,0.024934594701463014,0.00712904,18358,20,239,178,44
4G,0.005614796,0.001074147,0.8051699489945753,0.025591049862873548,0.024862307,0.008165671,22317,21,163,118,244
4H,0.005477234,0.00203573,0.8165302150537634,0.029044848081054366,0.025450381,0.010834069654680282,17954,22,148,103,189
5A,0.005877967,0.001031947,0.7810162036321094,0.025625109,0.025035715,0.007046013,15185,23,94,64,53
5B,0.005792048,0.001081859,0.7908052875882946,0.025787726574690535,0.024003098,0.007023293,16641,24,44,234,163
5C,0.00554128,0.001670177,0.7758546431585599,0.025576698187782933,0.023261542692440434,0.006950464,22743,25,0,255,103
5D,0.0057362,0.001007751,0.8078964347826088,0.020330832797239882,0.026797313043478245,0.005362219,19846,26,4,61,122
5E,0.005933651,0.001044835,0.779896263,0.021759926762158092,0.022708611568578604,0.007433928,15262,27,123,66,205
5F,0.005547756,0.001158527,0.7975914112393502,0.026870519577079095,0.023278955334485246,0.00855322,22400,28,227,119,194
5G,0,0,0.7921135089141126,0.027069933,0.025879590582897346,0.007936099,23349,29,198,127,8
5H,0,0,0.8181562025002601,0.030376497554083323,0.026251219095335093,0.009609126,21006,30,194,74,244
5J,0.005859097,0.001345994,0.8074582702571396,0.027471056884836583,0.025562187530077822,0.008847058,17200,31,178,25,107
6A,0.005419147,0.00087914,0.7769330526461354,0.023569856216311406,0.023808132578725882,0.006613972,23379,32,35,22,17
6B,0.005471229,0.000992451,0.7717294375983544,0.025062519,0.022302714818491866,0.006708025,22405,33,2,199,87
6C,0.004853203,0.000939789,0.770504124,0.02686411,0.022083488217355503,0.007022406,21988,34,14,183,51
6D,0.006209793,0.001071337,0.7866614762121684,0.025825270276686515,0.026848440175147568,0.007833842,22886,35,209,91,3
6E,0.005924474,0.00099509,0.7945829901450653,0.021797237872131944,0.023693739,0.007107536,19364,36,216,146,221
6F,0.010233777092525778,0.002179917,0.8354732412104878,0.030249457116864557,0.034445753,0.010307402128149647,21658,37,227,118,173
6G,0.009202768,0.001718855,0.8037865563357367,0.024829437630599433,0.028809003660557022,0.007973384,21845,38,226,57,165
6H,0.006718183,0.001110824,0.8219710070057268,0.028721946292125638,0.026253355,0.00824082,20050,39,214,135,144
7A,0.005927476,0.000872956,0.7735261274038447,0.021877765794243147,0.024928849236001256,0.006633151,21775,40,186,127,214
7B,0.005739195,0.001146232,0.7979816243411595,0.023967174795670683,0.024016838,0.006803699,22826,41,44,160,44
7C,0.006865535,0.001019885,0.7763468222213052,0.026568482,0.024927613,0.006925735,21674,42,68,163,115
7D,0.007915942,0.001529628,0.8041669729242952,0.026072671125933422,0.029231407423326094,0.00822866,21730,43,151,44,26
7E,0.008469958,0.002004429,0.8105289839697185,0.030917459,0.033895693607418204,0.012923589281080703,20298,44,228,129,99
7F,0.009700506,0.002104696,0.8281924608960693,0.037040348,0.036349232,0.012779453858119414,21216,45,168,55,149
7G,0.008060495,0.001840124,0.8158846721198283,0.026904469,0.039125910998425675,0.012218411897463746,22384,46,159,64,33
7H,0.00843832,0.001566418,0.8224390023941469,0.029237298,0.030555682897999273,0.009028612,21568,47,80,142,218
7J,0.007437253,0.001190412,0.8345187421393212,0.028297201508321927,0.028883351,0.009320563,20360,48,139,56,65
8A,0.006032309,0.001013596,0.7700954364218064,0.024398909,0.024441209,0.007609891,21290,49,141,56,150
8B,0.005430288,0.000916259,0.7760322159092958,0.023318422173838997,0.022417179,0.00645919,16560,50,42,96,65
8C,0.00649771,0.001027493,0.7676975731614564,0.025623354644342514,0.024029856,0.007053545,22572,51,62,114,55
8D,0.00787744,0.001235392,0.7946068697275176,0.027176553,0.027404561236577255,0.007184421,21209,52,133,74,39
8E,0.005322635,0.000841185,0.7448863113207551,0.024500405344245614,0.019626852159921597,0.006375914,16310,53,252,218,164
8F,0.007724478,0.001617276,0.8034270221234544,0.028034691,0.038597558405840705,0.011709014,19223,54,127,77,45
8G,0.011532085761789096,0.00218623,0.8181303684195729,0.027774688297673347,0.047162805,0.012887447,20988,55,209,156,114
8H,0.009027729,0.001652598,0.829852519,0.030811391857396727,0.033146488,0.009747873,22087,56,169,138,224
